source,target,length,source_x,source_y
1108,433,29.058,900475,-5.34129e+06
455,53,29.058,889395,-5.34729e+06
120,118,29.058,887462,-5.34801e+06
121,607,29.058,887796,-5.3478e+06
121,122,29.058,887796,-5.3478e+06
121,124,29.058,887796,-5.3478e+06
1000,279,29.058,911855,-5.33943e+06
1110,875,29.058,885598,-5.34858e+06
449,452,29.058,875093,-5.35086e+06
449,575,29.058,875093,-5.35086e+06
449,446,29.058,875093,-5.35086e+06
122,123,29.058,886999,-5.34813e+06
122,121,29.058,886999,-5.34813e+06
122,1078,29.058,886999,-5.34813e+06
123,122,29.058,886815,-5.3482e+06
507,72,29.058,917858,-5.33759e+06
507,539,29.058,917858,-5.33759e+06
507,66,29.058,917858,-5.33759e+06
124,125,29.058,888815,-5.34738e+06
124,134,29.058,888815,-5.34738e+06
124,121,29.058,888815,-5.34738e+06
125,124,29.058,888613,-5.34746e+06
125,701,29.058,888613,-5.34746e+06
125,930,29.058,888613,-5.34746e+06
1004,328,29.058,907086,-5.34086e+06
453,249,29.058,878218,-5.35086e+06
126,616,29.058,889114,-5.34726e+06
126,610,29.058,889114,-5.34726e+06
126,529,29.058,889114,-5.34726e+06
127,128,29.058,889710,-5.34703e+06
128,127,29.058,889989,-5.34689e+06
128,616,29.058,889989,-5.34689e+06
128,611,29.058,889989,-5.34689e+06
785,162,29.058,901038,-5.34146e+06
785,1214,29.058,901038,-5.34146e+06
785,789,29.058,901038,-5.34146e+06
314,315,29.058,895876,-5.34467e+06
314,927,29.058,895876,-5.34467e+06
314,469,29.058,895876,-5.34467e+06
1302,1072,29.058,898747,-5.34179e+06
129,134,29.058,889955,-5.3469e+06
129,652,29.058,889955,-5.3469e+06
129,1186,29.058,889955,-5.3469e+06
130,131,29.058,889658,-5.34702e+06
1207,1206,29.058,879007,-5.3491e+06
1207,230,29.058,879007,-5.3491e+06
1207,235,29.058,879007,-5.3491e+06
260,587,29.058,887861,-5.34605e+06
260,258,29.058,887861,-5.34605e+06
260,1239,29.058,887861,-5.34605e+06
131,130,29.058,889632,-5.34703e+06
131,702,29.058,889632,-5.34703e+06
131,442,29.058,889632,-5.34703e+06
131,914,29.058,889632,-5.34703e+06
132,133,29.058,889587,-5.34703e+06
789,782,29.058,901118,-5.34144e+06
789,785,29.058,901118,-5.34144e+06
789,1337,29.058,901118,-5.34144e+06
1193,693,29.058,888824,-5.34759e+06
318,319,29.058,888840,-5.34599e+06
318,467,29.058,888840,-5.34599e+06
318,370,29.058,888840,-5.34599e+06
133,132,29.058,889589,-5.34703e+06
133,502,29.058,889589,-5.34703e+06
133,702,29.058,889589,-5.34703e+06
134,129,29.058,889363,-5.34715e+06
134,124,29.058,889363,-5.34715e+06
134,502,29.058,889363,-5.34715e+06
312,313,29.058,894090,-5.34527e+06
1300,1299,29.058,901200,-5.34141e+06
1300,160,29.058,901200,-5.34141e+06
1300,1061,29.058,901200,-5.34141e+06
135,326,29.058,892154,-5.34598e+06
135,717,29.058,892154,-5.34598e+06
135,18,29.058,892154,-5.34598e+06
136,957,29.058,895162,-5.34438e+06
136,617,29.058,895162,-5.34438e+06
136,614,29.058,895162,-5.34438e+06
793,791,29.058,874693,-5.35013e+06
258,259,29.058,886788,-5.34644e+06
258,370,29.058,886788,-5.34644e+06
258,260,29.058,886788,-5.34644e+06
1310,1298,29.058,901808,-5.3415e+06
1310,1238,29.058,901808,-5.3415e+06
1310,1334,29.058,901808,-5.3415e+06
